document_id,clean_text,sentiment
rev1,everi come truli make impact joaquin perform scenographi brillianc grotesqu haunt cringi hard watch time mesmer wont blink eye watch tragic serious funni moment emot rollercoast sometim multipl emot poppingup timethi far typic actionriddl predict superhero proper psycholog thrillerdrama singl best charact develop i ever seen found help wa review help sign vote permalink,Positive
rev2,thi felt alon isol truli relat you understand motiv feel sorri charact a lot peopl see think encourag violenc but truli encourag everi one u becom better person treat everyon respect make feel like belong world instead make feel isol found help wa review help sign vote permalink,Positive
rev3,truli masterpiec the best hollywood film one best film decad and truli best film bring comic book chillingli realist real ife remark direct cinematographi music act some peopl surpris find disturb violent necess messag it societi reflect underappreciatedunrecognizedbulli peopl prove someth the way show class differ corrupt rich talent rule other around exagger that make differ it believ there could multipl joker live societi could shake around much bitter way film show make peopl uncomfort peopl consid wake call messag first film a perfect film found help wa review help sign vote permalink,Positive
rev4,joaquin phoenix give tour de forc perform fearless stun emot depth physic it imposs talk without referenc heath ledger oscarwin perform the dark knight wide consid definit liveact portray joker let talk the fact everyon go stun phoenix accomplish mani thought imposs portray match potenti exce the dark knight clown princ crime found help wa review help sign vote permalink,Positive
rev5,most time movi anticip like end fall short way short joker first time i happi hype plea ignor complaint pernici violenc embarrass say least we havent seen comic real if ever deserv better class crimin phillip phoenix deliv thi dark joker is dark fall love villain the bad guy alway romant anyway found help wa review help sign vote permalink,Positive
rev6,let start say joaquin phoneix doesnt get oscar then oscar cancel phoneix amaz mightv heard everi review ever but todd phillip is best the stori line take visual breathtak the score omg score everi time score came i felt uncomfort like someth horribl happen it great the inspir taxi driver king comedi add much and i got honest there scene violent and disturb but i honestli expect wayyyi violent controversi go overal great come oscar season need nomin best pictur screenplay cinematographi actor score director found help wa review help sign vote permalink,Positive
rev7,i get peopl hate it polit messag peopl think need get empathi arthur mad but come point never enjoy masterpiec joaquin phoenix todd phillip overdid the actingmus cinematographi amaz plea enjoy without overthink found help wa review help sign vote permalink,Positive
rev8,i seen joker yesterday venic earli illfat screen we troubl audio lead nearhour delay definit worth itjok deserv present venic film festiv event regard cinema form art film far blockbust mere entertain film genr areit focus psych main charact slowli crumbl pressur societi and thu joaquin phoenix wonder perform earn almost sure nomin oscar least it take joker differ ledger id say equal good the main differ might ledger joker ration act insan phoenix insan rootdespit superhero villain joker much superior movi genr id exclud dark knight trilog joker easili good nolan movi least close it smallscal film distinct style cinematographi cannot appreci set cinephil refer howev feel forc overli opress notabl similar scorses taxi driver the king comedi also chaplin modern time somewhat referencedi eager see noncomed effort todd phillip thi far probabl best worst contest far dolor y gloria onc upon time hollywood convinc,Positive
rev9,it sad joaquin miss oscar the gladiat compel villain but i quit confid win joker damn keep u toe time unpredict storylin realli deep interest plot did i forget mention act damn do niro joaquin teach u realli star act to enjoy get wine hand close curtain turn ur cellphon put disturb sign ur door best dark thriller suspens get experi found help wa review help sign vote permalink,Positive
rev10,masterpiec one best film decad act direct set photographi soundtrack year film cult one found help wa review help sign vote permalink,Positive
